product,source,missingField,severity
Glass Ming Temple Lantern,viridianbay.com,weight,minor
Stoneware Teapot,fermliving.com,dimensions,minor
Stoneware Teapot,fermliving.com,weight,minor
Aluminium Serve Sea Garden Stool,viridianbay.com,dimensions,minor
Aluminium Serve Sea Garden Stool,viridianbay.com,weight,minor
Red Steel Kitchen Piece,thecozygarden.com,dimensions,minor
Red Steel Kitchen Piece,thecozygarden.com,weight,minor
Stoneware Table Diameter Last Chance,viridianbay.com,dimensions,minor
Stoneware Table Diameter Last Chance,viridianbay.com,weight,minor
Ceramic Share Table Essential,viridianbay.com,dimensions,minor
Ceramic Share Table Essential,viridianbay.com,weight,minor
Metal Gather Wall Sconce Painted,lewpe.com,dimensions,minor
Metal Gather Wall Sconce Painted,lewpe.com,weight,minor
Metal Gather Wall Sconce Painted,lewpe.com,variants,minor
Aluminium Share Tides Garden Stool,viridianbay.com,dimensions,minor
Aluminium Share Tides Garden Stool,viridianbay.com,weight,minor
Aluminium Table Abuzz Garden Stool,viridianbay.com,dimensions,minor
Aluminium Table Abuzz Garden Stool,viridianbay.com,weight,minor
Lamp Beech Wood,lewpe.com,dimensions,minor
Lamp Beech Wood,lewpe.com,weight,minor
Lamp Beech Wood,lewpe.com,variants,minor
Iron Clip Mount Lamp,lewpe.com,dimensions,minor
Iron Clip Mount Lamp,lewpe.com,weight,minor
Iron Clip Mount Lamp,lewpe.com,variants,minor
Bauhaus Glass Pendant Light,lewpe.com,weight,minor
Bauhaus Glass Pendant Light,lewpe.com,variants,minor
Wood Mount Ceiling Light,lewpe.com,dimensions,minor
Wood Mount Ceiling Light,lewpe.com,weight,minor
Wood Mount Ceiling Light,lewpe.com,variants,minor
Glass Yellow Glow Semi-Flush Ceiling Light,lewpe.com,weight,minor
Cloud Pendant Light,lewpe.com,weight,minor
Cloud Pendant Light,lewpe.com,variants,minor
Black Glass Lighting Piece,lampenwelt.de,weight,minor
Black Glass Lighting Piece,lampenwelt.de,variants,minor
Glass Pendant Light,lewpe.com,weight,minor
Glass Pendant Light,lewpe.com,variants,minor
Aluminium Ambient Led Wall Sconce,lewpe.com,weight,minor
Aluminium Ambient Led Wall Sconce,lewpe.com,variants,minor
Green Iron Party Decoration,thecozygarden.com,dimensions,minor
Green Iron Party Decoration,thecozygarden.com,weight,minor
Bamboo Box Light Celedon,fermliving.com,dimensions,minor
Bamboo Box Light Celedon,fermliving.com,weight,minor
Art Deco Tiered Glass Mount Ceiling Light,lewpe.com,weight,minor
Art Deco Tiered Glass Mount Ceiling Light,lewpe.com,variants,minor
Walnut Beacon Lamp Fabric Shade,lewpe.com,dimensions,minor
Walnut Beacon Lamp Fabric Shade,lewpe.com,weight,minor
Walnut Beacon Lamp Fabric Shade,lewpe.com,variants,minor
Iron Blue Ambient Party Home Decoration,thecozygarden.com,dimensions,minor
Iron Blue Ambient Party Home Decoration,thecozygarden.com,weight,minor
Bamboo Pinboard Light Celedon,fermliving.com,dimensions,minor
Bamboo Pinboard Light Celedon,fermliving.com,weight,minor
Glass Halo Sconce Ring Base,lewpe.com,dimensions,minor
Glass Halo Sconce Ring Base,lewpe.com,weight,minor
Glass Halo Sconce Ring Base,lewpe.com,variants,minor
Aluminium Ambient Wall Sconce Acrylic,lewpe.com,weight,minor
Aluminium Ambient Wall Sconce Acrylic,lewpe.com,variants,minor
Glass Beacon Ceiling Light Iron,lewpe.com,weight,minor
Glass Beacon Ceiling Light Iron,lewpe.com,variants,minor
Oak Glow Shelf Square Oiled,fermliving.com,dimensions,minor
Oak Glow Shelf Square Oiled,fermliving.com,weight,minor
Oak Ambient Shelf Low Oiled,fermliving.com,dimensions,minor
Oak Ambient Shelf Low Oiled,fermliving.com,weight,minor
Metal Glow Curved-Arm Ceiling Light,lewpe.com,dimensions,minor
Metal Glow Curved-Arm Ceiling Light,lewpe.com,weight,minor
Blue Glow Firefly Lawn Lamps,thecozygarden.com,material,minor
Blue Glow Firefly Lawn Lamps,thecozygarden.com,dimensions,minor
Blue Glow Firefly Lawn Lamps,thecozygarden.com,weight,minor
White Ambient Falling Like Dew,thecozygarden.com,material,minor
White Ambient Falling Like Dew,thecozygarden.com,dimensions,minor
White Ambient Falling Like Dew,thecozygarden.com,weight,minor
Rattan Rust Halo Climbing Plants-Rustic Brown,thecozygarden.com,dimensions,minor
Rattan Rust Halo Climbing Plants-Rustic Brown,thecozygarden.com,weight,minor
Rattan Red Halo Brown Color Brown,thecozygarden.com,dimensions,minor
Rattan Red Halo Brown Color Brown,thecozygarden.com,weight,minor
Halo Pillar Candles Bronze,fermliving.com,material,minor
Halo Pillar Candles Bronze,fermliving.com,dimensions,minor
Halo Pillar Candles Bronze,fermliving.com,weight,minor
Glass Halo Sconce Painted Iron,lewpe.com,dimensions,minor
Glass Halo Sconce Painted Iron,lewpe.com,weight,minor
Iron Red Glow Hanging Bird House,thecozygarden.com,dimensions,minor
Iron Red Glow Hanging Bird House,thecozygarden.com,weight,minor
Rattan White Keep Garden Cushion-White Color,thecozygarden.com,dimensions,minor
Rattan White Keep Garden Cushion-White Color,thecozygarden.com,weight,minor
Teak Storage Bench,thecozygarden.com,dimensions,minor
Teak Storage Bench,thecozygarden.com,weight,minor
Aluminium Keep Storage Piece,fermliving.com,dimensions,minor
Aluminium Keep Storage Piece,fermliving.com,weight,minor
Plastic Grey Stack Storage Piece,thecozygarden.com,dimensions,minor
Plastic Grey Stack Storage Piece,thecozygarden.com,weight,minor
Steel Keep Shoe Storage Carbon,lewpe.com,dimensions,minor
Steel Keep Shoe Storage Carbon,lewpe.com,weight,minor
Metal Green Tidy Greenhouse Flower Rack,thecozygarden.com,dimensions,minor
Metal Green Tidy Greenhouse Flower Rack,thecozygarden.com,weight,minor
Steel Anthracite Keep X38 X24 Galvanized,thecozygarden.com,dimensions,minor
Steel Anthracite Keep X38 X24 Galvanized,thecozygarden.com,weight,minor
Steel Red Tidy Grilling Canopy Garden,thecozygarden.com,dimensions,minor
Steel Red Tidy Grilling Canopy Garden,thecozygarden.com,weight,minor
Lounge Cushions Aluminum,thecozygarden.com,dimensions,minor
Lounge Cushions Aluminum,thecozygarden.com,weight,minor
Steel Green Terrace X150 X70 Galvanized,thecozygarden.com,dimensions,minor
Steel Green Terrace X150 X70 Galvanized,thecozygarden.com,weight,minor
Aluminium Feathers Garden Stool,viridianbay.com,dimensions,minor
Aluminium Feathers Garden Stool,viridianbay.com,weight,minor
Rattan Brown Breeze Lounge Cushions Poly,thecozygarden.com,dimensions,minor
Rattan Brown Breeze Lounge Cushions Poly,thecozygarden.com,weight,minor
Aluminium Shade Coco Garden Stool,viridianbay.com,dimensions,minor
Aluminium Shade Coco Garden Stool,viridianbay.com,weight,minor
Aluminium Terrace Sea Garden Stool,viridianbay.com,dimensions,minor
Aluminium Terrace Sea Garden Stool,viridianbay.com,weight,minor
Steel Grey Planter,thecozygarden.com,dimensions,minor
Steel Grey Planter,thecozygarden.com,weight,minor
Black Pine Planter,thecozygarden.com,dimensions,minor
Black Pine Planter,thecozygarden.com,weight,minor
Wooden Garden Planter,thecozygarden.com,dimensions,minor
Wooden Garden Planter,thecozygarden.com,weight,minor
Aluminum Girasole Planter Trellis,viridianbay.com,dimensions,minor
Aluminum Girasole Planter Trellis,viridianbay.com,weight,minor
Pine Basin Pcs Impregnated Wood,thecozygarden.com,dimensions,minor
Pine Basin Pcs Impregnated Wood,thecozygarden.com,weight,minor
Aluminium Planter Tropical Flamingo Planters,viridianbay.com,dimensions,minor
Aluminium Planter Tropical Flamingo Planters,viridianbay.com,weight,minor
Aluminium Pot Staked Planter Candleholder,viridianbay.com,dimensions,minor
Aluminium Pot Staked Planter Candleholder,viridianbay.com,weight,minor
Ceramic Vessel Vase- Last Chance,viridianbay.com,dimensions,minor
Ceramic Vessel Vase- Last Chance,viridianbay.com,weight,minor
Ceramic Planter Vase Last Chance,viridianbay.com,dimensions,minor
Ceramic Planter Vase Last Chance,viridianbay.com,weight,minor
Aluminium Basin Bird Feeder Planter,viridianbay.com,dimensions,minor
Aluminium Basin Bird Feeder Planter,viridianbay.com,weight,minor
Wood Natural Planter Planter 70-Inch 31-Inch,thecozygarden.com,dimensions,minor
Wood Natural Planter Planter 70-Inch 31-Inch,thecozygarden.com,weight,minor
Wall Panel Felt-Backed,lewpe.com,weight,minor
Wall Panel Walnut,lewpe.com,weight,minor
Panel 4-Pack Quilted,lewpe.com,weight,minor
Pine Wall Panel Finish,lewpe.com,weight,minor
Steel Anthracite Texture Galvanized X32 X60,thecozygarden.com,dimensions,minor
Steel Anthracite Texture Galvanized X32 X60,thecozygarden.com,weight,minor
Acacia Bed Porch Yard,thecozygarden.com,dimensions,minor
Acacia Bed Porch Yard,thecozygarden.com,weight,minor
Glass Lighthouse Lantern,viridianbay.com,dimensions,minor
Glass Lighthouse Lantern,viridianbay.com,weight,minor
Walnut Hexagon Wall Panel,lewpe.com,weight,minor
Iron Green Relief Blue Yellow Brown,thecozygarden.com,dimensions,minor
Iron Green Relief Blue Yellow Brown,thecozygarden.com,weight,minor
Iron Natural Texture Box Legs-Natural Color,thecozygarden.com,dimensions,minor
Iron Natural Texture Box Legs-Natural Color,thecozygarden.com,weight,minor
Acacia Rhythm X11 Solid Wood,thecozygarden.com,dimensions,minor
Acacia Rhythm X11 Solid Wood,thecozygarden.com,weight,minor
